name,sku,slug,category,brand,sellingPrice,mrp,stock,unit,barcode,description,deliveryMinutes,thumbnail,gallery,videoUrl,active,featured,bestseller,attributes,highlights,ingredients,storageInstructions,usageInstructions,replacementPolicy
Cadbury Oreo Vanilla Creme Cookies,BISC-OREO-01,cadbury-oreo-vanilla-creme-cookies,cream-biscuits,cadbury-oreo,30,30,50,120 g,,Crunchy chocolate cookie biscuits sandwiching rich vanilla cream.,10,/images/products/Dairy & Breakfast/Oreo Biscits/shopping.webp,"/images/products/Dairy & Breakfast/Oreo Biscits/shopping.webp,/images/products/Dairy & Breakfast/Oreo Biscits/cadbury/cabury.webp",,true,true,true,Flavour:Vanilla Creme,"Twist, Lick, Dunk Chocolate Cookies","Refined Wheat Flour, Sugar, Cocoa Solids, Palm Oil",Store in a cool dry place,"Twist, lick and dunk in milk",24-hour returnable
Cadbury Oreo Mini Pack,BISC-OREO-02,cadbury-oreo-mini-pack,cream-biscuits,cadbury-oreo,10,10,50,46 g,,Pocket size pack of delicious Oreo vanilla cream sandwich biscuits.,10,/images/products/Dairy & Breakfast/Oreo Biscits/price 10/shopping (1).webp,/images/products/Dairy & Breakfast/Oreo Biscits/price 10/shopping (1).webp,,true,false,false,Flavour:Vanilla,Pocket Snack Size,"Wheat Flour, Sugar, Cocoa Solids, Vegetable Oil",Store in a cool dry place,Snack on the go,24-hour returnable
Sunfeast Dark Fantasy Choco Fills,BISC-DARK-01,sunfeast-dark-fantasy-choco-fills,cookies-crackers,sunfeast,40,40,40,75 g,,Crunchy outer crust filled with smooth molten Belgian chocolate creme.,10,/images/products/Dairy & Breakfast/dark-fantasy/1.jpeg,"/images/products/Dairy & Breakfast/dark-fantasy/1.jpeg,/images/products/Dairy & Breakfast/dark-fantasy/2.jpeg,/images/products/Dairy & Breakfast/dark-fantasy/3.jpeg",,true,true,true,Flavour:Choco Fills,Molten Choco Core Cookies,"Wheat Flour, Choco Cream, Sugar, Cocoa Solids",Store in a cool dry place,Warm in microwave for 10s for liquid centre,24-hour returnable
Britannia Treat Jim Jam Biscuits,BISC-JIMJ-01,britannia-treat-jim-jam-biscuits,cream-biscuits,britannia,35,35,40,138 g,,Crispy biscuits filled with vanilla cream and topped with sticky jam droplet.,10,/images/products/Dairy & Breakfast/jimjam/1.jpg,"/images/products/Dairy & Breakfast/jimjam/1.jpg,/images/products/Dairy & Breakfast/jimjam/4.jpg",,true,false,false,Flavour:Vanilla & Jam,Vanilla Cream & Jam Drop,"Wheat Flour, Sugar, Fruit Jam, Milk Solids",Store in a cool dry place,Enjoy with family and kids,24-hour returnable
Fresh Whole Wheat Chakki Atta,ATTA-FLOUR-01,fresh-whole-wheat-chakki-atta,wheat-flour-atta,fresh-farm,210,230,25,5 kg,,100% whole wheat grains stone ground for soft and fluffy rotis.,10,/images/products/Dairy & Breakfast/atta.png,/images/products/Dairy & Breakfast/atta.png,,true,true,true,Dietary:100% Whole Wheat,Stone Ground Chakki Atta,100% Whole Wheat,Store in dry airtight container,Knead with water for rotis and parathas,24-hour returnable
Fresh Royal Gala Apples (Shimla),FRUIT-APPL-01,fresh-royal-gala-apples-shimla,apples-pears,fresh-farm,140,160,30,1 kg,,"Crispy, juicy and naturally sweet fresh Shimla Gala apples.",10,/images/products/Vegetables & Fruits/apple/Apple.webp,"/images/products/Vegetables & Fruits/apple/Apple.webp,/images/products/Vegetables & Fruits/apple/shopping (1).webp",,true,true,true,Origin:Shimla,"Sweet, Juicy & Crunchy",Fresh Apples,Refrigerate to preserve freshness,Wash before eating,24-hour returnable
Fresh Robusta Bananas (Kela),FRUIT-BANA-01,fresh-robusta-bananas-kela,bananas-grapes,fresh-farm,45,50,40,1 kg (approx 6-8 pcs),,Naturally ripened nutrient-rich bananas packed with potassium.,10,/images/products/Vegetables & Fruits/banana/shopping.webp,/images/products/Vegetables & Fruits/banana/shopping.webp,,true,false,true,Type:Robusta,Naturally Ripened,Fresh Bananas,Store at room temperature,Peel and consume,24-hour returnable
Fresh Seedless Green Grapes (Angoor),FRUIT-GRAP-01,fresh-seedless-green-grapes-angoor,bananas-grapes,fresh-farm,75,90,25,500 g,,Sweet and crisp seedless green grapes directly from Nashik vineyards.,10,/images/products/Vegetables & Fruits/grapes/shopping.webp,"/images/products/Vegetables & Fruits/grapes/shopping.webp,/images/products/Vegetables & Fruits/grapes/shopping (1).webp",,true,false,false,Seedless:Yes,Sweet & Seedless,Fresh Grapes,Keep refrigerated,Wash thoroughly in cold water before eating,24-hour returnable
Fresh Red Pomegranates (Anaar),FRUIT-POME-01,fresh-red-pomegranates-anaar,pomegranates-citrus,fresh-farm,180,200,20,1 kg (approx 3-4 pcs),,Ruby red juicy pomegranate pearls rich in antioxidants and iron.,10,/images/products/Vegetables & Fruits/prmegranates/51I0L2K2L2L.jpg,/images/products/Vegetables & Fruits/prmegranates/51I0L2K2L2L.jpg,,true,false,false,Origin:Maharashtra,Rich in Antioxidants,Fresh Pomegranates,Keep in a cool dry place,Peel and consume seeds or juice,24-hour returnable
Fresh Hybrid Red Tomatoes (Tamatar),VEG-TOMA-01,fresh-hybrid-red-tomatoes-tamatar,daily-vegetables,fresh-farm,35,40,50,1 kg,,Firm and ripe juicy red tomatoes suitable for daily gravies and salads.,10,/images/products/Vegetables & Fruits/tomato/Tomato-Local.webp,"/images/products/Vegetables & Fruits/tomato/Tomato-Local.webp,/images/products/Vegetables & Fruits/tomato/Tomato-Local (1).webp",,true,true,true,Type:Hybrid,Farm Fresh Red Tomatoes,Fresh Tomatoes,Store in a cool dry place,Wash before use in cooking or salads,24-hour returnable
Fresh Green Salad Cucumber (Kheera),VEG-CUCM-01,fresh-green-salad-cucumber-kheera,daily-vegetables,fresh-farm,30,35,35,500 g,,"Cool, hydrating and crisp green cucumbers perfect for fresh salads.",10,/images/products/Vegetables & Fruits/Cucumner/71D3SkjsXyL.jpg,"/images/products/Vegetables & Fruits/Cucumner/71D3SkjsXyL.jpg,/images/products/Vegetables & Fruits/Cucumner/71STk+osA3L.jpg",,true,false,false,Type:Salad Cucumber,Crunchy & Hydrating,Fresh Cucumbers,Refrigerate,"Peel, slice and enjoy in salads",24-hour returnable
Fresh Orange Carrots (Gajar),VEG-CARR-01,fresh-orange-carrots-gajar,root-vegetables,fresh-farm,40,45,30,500 g,,"Crispy, sweet and nutritious carrots rich in Vitamin A.",10,/images/products/Vegetables & Fruits/carrot/shopping.webp,"/images/products/Vegetables & Fruits/carrot/shopping.webp,/images/products/Vegetables & Fruits/carrot/shopping (1).webp",,true,false,false,Type:Orange Carrot,Rich in Vitamin A,Fresh Carrots,Refrigerate in vegetable crisper,Peel and consume raw or cooked,24-hour returnable
Fresh Organic Sweet Potatoes (Shakarkandi),VEG-SWPT-01,fresh-organic-sweet-potatoes-shakarkandi,root-vegetables,fresh-farm,50,60,25,500 g,,Naturally sweet and fibre-rich organic sweet potatoes.,10,/images/products/Vegetables & Fruits/oraganic sweet potato/Apna-Sabji-Sweet-Potato.webp,"/images/products/Vegetables & Fruits/oraganic sweet potato/Apna-Sabji-Sweet-Potato.webp,/images/products/Vegetables & Fruits/oraganic sweet potato/shopping.webp",,true,false,false,Organic:Yes,High Fibre & Sweet,Fresh Sweet Potatoes,Store in cool ventilated space,"Boil, roast or bake before eating",24-hour returnable
Fresh Nashik Red Onions (Pyaz),VEG-ONIN-01,fresh-nashik-red-onions-pyaz,root-vegetables,fresh-farm,45,50,60,1 kg,,"Pungent, flavourful and essential red onions from Nashik farms.",10,/images/products/onion.png,/images/products/onion.png,,true,true,true,Origin:Nashik,Essential Daily Kitchen Staple,Fresh Onions,Store in open dry basket,Peel and chop for cooking,24-hour returnable
